Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
34,0.000,-26.1869,1.000,-26.1869,0.000,-26.1869,1672.57,0.10,1000.28,106.56,1000.00,2000.00,1000.00,0.03,-0.98,185.17,-0.22,-0.25,0.94,-0.05,0.97,0.24,0.97,-0.01,0.23,1.3680004
35,0.000,-25.9910,0.500,-25.9910,0.500,-25.9910,1670.94,0.10,1000.26,109.64,1000.00,2000.00,1000.00,-0.02,-1.26,185.29,-0.23,-0.26,0.94,-0.06,0.96,0.25,0.97,0.00,0.24,1.4859332
36,0.765,-25.8303,1.000,-25.8303,0.000,-25.8303,1669.31,0.09,1000.23,112.73,1000.00,2000.00,1000.00,-0.06,-1.56,185.39,-0.24,-0.28,0.93,-0.08,0.96,0.27,0.97,0.01,0.26,1.4674175
37,0.500,-25.6194,0.500,-25.6183,0.500,-25.6183,1667.69,0.09,1000.20,115.82,1000.00,2000.00,1000.00,-0.12,-1.89,185.49,-0.26,-0.29,0.92,-0.10,0.96,0.28,0.96,0.02,0.27,1.4923546
38,0.000,-25.4987,1.000,-25.4987,0.805,-25.4987,1666.07,0.09,1000.17,118.92,1000.00,2000.00,1000.00,-0.17,-2.23,185.58,-0.27,-0.31,0.91,-0.11,0.95,0.29,0.96,0.03,0.29,1.4323677
39,0.000,-25.3064,0.500,-25.3064,0.812,-25.3064,1664.47,0.09,1000.12,122.01,1000.00,2000.00,1000.00,-0.23,-2.59,185.65,-0.28,-0.33,0.90,-0.13,0.94,0.30,0.95,0.03,0.31,1.4843247
40,0.000,-25.1516,1.000,-25.1516,1.000,-25.1516,1662.87,0.08,1000.07,125.11,1000.00,2000.00,1000.00,-0.28,-2.97,185.71,-0.29,-0.35,0.89,-0.15,0.94,0.31,0.94,0.04,0.33,1.4635334
41,0.987,-24.9227,0.500,-24.9230,0.784,-24.9230,1661.28,0.08,1000.02,128.20,1000.00,2000.00,1000.00,-0.34,-3.38,185.76,-0.30,-0.36,0.88,-0.17,0.93,0.32,0.94,0.05,0.35,1.4980295
42,1.000,-24.7380,0.000,-24.7385,0.995,-24.7385,1659.70,0.07,999.95,131.30,1000.00,2000.00,1000.00,-0.39,-3.81,185.80,-0.32,-0.38,0.87,-0.19,0.92,0.33,0.93,0.06,0.36,1.4806814
43,1.000,-24.5719,1.000,-24.5719,0.996,-24.5719,1658.13,0.06,999.88,134.40,1000.00,2000.00,1000.00,-0.45,-4.25,185.82,-0.33,-0.40,0.86,-0.22,0.91,0.34,0.92,0.07,0.38,1.4711034
44,0.000,-24.4177,1.000,-24.4177,0.945,-24.4177,1656.56,0.05,999.80,137.49,1000.00,2000.00,1000.00,-0.51,-4.67,185.84,-0.34,-0.42,0.84,-0.24,0.90,0.35,0.91,0.08,0.40,1.4631121
