Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
49,0.498,-31.1543,0.503,-31.1546,0.642,-31.1546,1647.08,0.41,1002.64,152.07,1000.00,2000.00,1000.00,2.87,11.23,181.68,0.46,0.29,0.84,0.09,0.92,-0.37,0.88,-0.24,-0.40,-0.9702671
50,0.501,-31.1778,0.519,-31.1777,0.278,-31.1776,1645.38,0.46,1002.84,155.09,1000.00,2000.00,1000.00,3.06,11.78,181.41,0.47,0.30,0.83,0.08,0.92,-0.38,0.88,-0.25,-0.41,-0.9444096
51,0.497,-31.1998,0.532,-31.2001,0.333,-31.2001,1643.67,0.52,1003.04,158.11,1000.00,2000.00,1000.00,3.23,12.25,181.22,0.49,0.30,0.82,0.08,0.92,-0.39,0.87,-0.25,-0.42,-0.9334307
52,0.497,-31.2213,0.547,-31.2217,0.216,-31.2216,1641.97,0.57,1003.25,161.13,1000.00,2000.00,1000.00,3.41,12.72,181.02,0.50,0.30,0.81,0.08,0.92,-0.39,0.86,-0.26,-0.43,-0.9110131
53,0.495,-31.2426,0.560,-31.2429,0.087,-31.2427,1640.26,0.63,1003.47,164.14,1000.00,2000.00,1000.00,3.58,13.20,180.80,0.51,0.31,0.80,0.07,0.91,-0.40,0.86,-0.26,-0.45,-0.9018779
54,0.496,-31.2600,0.568,-31.2633,0.252,-31.2631,1638.55,0.70,1003.70,167.15,1000.00,2000.00,1000.00,3.76,13.69,180.57,0.53,0.31,0.79,0.07,0.91,-0.40,0.85,-0.27,-0.46,-0.8849318
55,0.497,-31.2827,0.573,-31.2830,0.129,-31.2829,1636.84,0.76,1003.94,170.16,1000.00,2000.00,1000.00,3.94,14.18,180.33,0.54,0.31,0.78,0.07,0.91,-0.41,0.84,-0.27,-0.47,-0.8722529
56,0.493,-31.3026,0.572,-31.3022,0.038,-31.3024,1635.13,0.83,1004.18,173.16,1000.00,2000.00,1000.00,4.13,14.67,180.08,0.55,0.31,0.77,0.06,0.91,-0.41,0.83,-0.28,-0.48,-0.8645148
57,0.430,-31.2974,0.000,-31.2983,0.000,-31.2970,1633.42,0.90,1004.43,176.16,1000.00,2000.00,1000.00,4.31,15.16,179.83,0.56,0.31,0.77,0.06,0.91,-0.42,0.82,-0.28,-0.49,0.3175516
58,0.490,-31.3398,0.577,-31.3397,0.000,-31.3399,1631.71,0.98,1004.69,179.15,1000.00,2000.00,1000.00,4.50,15.65,179.56,0.57,0.31,0.76,0.06,0.91,-0.42,0.82,-0.28,-0.50,-1.2003782
59,0.485,-31.3580,0.575,-31.3579,0.000,-31.3557,1629.99,1.06,1004.96,182.14,1000.00,2000.00,1000.00,4.67,16.15,179.31,0.58,0.31,0.75,0.06,0.90,-0.42,0.81,-0.29,-0.51,-0.7581224
60,0.064,-31.3492,0.282,-31.3494,0.000,-31.3492,1628.28,1.14,1005.24,185.12,1000.00,2000.00,1000.00,4.83,16.63,179.06,0.59,0.32,0.74,0.05,0.90,-0.43,0.80,-0.29,-0.52,0.3673911
